1	2	3	0.742582449
0.742582449	1	2	2.09107378
2.09107378	0.742582449	1	-0.944171398
-0.944171398	2.09107378	0.742582449	-2.784760072
-2.784760072	-0.944171398	2.09107378	-2.213630073
-2.213630073	-2.784760072	-0.944171398	-1.870237739
-1.870237739	-2.213630073	-2.784760072	0.037174444
0.037174444	-1.870237739	-2.213630073	-0.348705338
-0.348705338	0.037174444	-1.870237739	0.18663061
0.18663061	-0.348705338	0.037174444	1.893958445
1.893958445	0.18663061	-0.348705338	1.102846957
1.102846957	1.893958445	0.18663061	0.587037351
0.587037351	1.102846957	1.893958445	-0.638115636
-0.638115636	0.587037351	1.102846957	0.982323268
0.982323268	-0.638115636	0.587037351	1.923984965
1.923984965	0.982323268	-0.638115636	1.131898895
1.131898895	1.923984965	0.982323268	-0.37721375
-0.37721375	1.131898895	1.923984965	1.174249818
1.174249818	-0.37721375	1.131898895	1.875545499
1.875545499	1.174249818	-0.37721375	1.764181831
1.764181831	1.875545499	1.174249818	0.258010507
0.258010507	1.764181831	1.875545499	-0.408567071
-0.408567071	0.258010507	1.764181831	-0.870749007
-0.870749007	-0.408567071	0.258010507	-0.832939119
-0.832939119	-0.870749007	-0.408567071	-1.159097979
-1.159097979	-0.832939119	-0.870749007	-0.656773721
-0.656773721	-1.159097979	-0.832939119	-0.295099442
-0.295099442	-0.656773721	-1.159097979	1.805280605
1.805280605	-0.295099442	-0.656773721	1.890985927
1.890985927	1.805280605	-0.295099442	-0.083859878
-0.083859878	1.890985927	1.805280605	-0.396395218
-0.396395218	-0.083859878	1.890985927	-0.917785008
-0.917785008	-0.396395218	-0.083859878	0.209285782
0.209285782	-0.917785008	-0.396395218	0.065667798
0.065667798	0.209285782	-0.917785008	-0.015993904
-0.015993904	0.065667798	0.209285782	0.535235894
0.535235894	-0.015993904	0.065667798	0.215788343
0.215788343	0.535235894	-0.015993904	1.549781677
1.549781677	0.215788343	0.535235894	-0.168250605
-0.168250605	1.549781677	0.215788343	1.099911596
1.099911596	-0.168250605	1.549781677	0.187186058
0.187186058	1.099911596	-0.168250605	2.286330303
2.286330303	0.187186058	1.099911596	1.052611445
1.052611445	2.286330303	0.187186058	-0.064276588
-0.064276588	1.052611445	2.286330303	-0.654933226
-0.654933226	-0.064276588	1.052611445	0.734472744
0.734472744	-0.654933226	-0.064276588	-0.791542227
-0.791542227	0.734472744	-0.654933226	-0.288705676
-0.288705676	-0.791542227	0.734472744	-2.846408684
-2.846408684	-0.288705676	-0.791542227	-2.20658162
-2.20658162	-2.846408684	-0.288705676	-1.58716595
-1.58716595	-2.20658162	-2.846408684	-1.331722229
-1.331722229	-1.58716595	-2.20658162	-1.496943999
-1.496943999	-1.331722229	-1.58716595	0.52883204
0.52883204	-1.496943999	-1.331722229	-0.371702
-0.371702	0.52883204	-1.496943999	-1.66954741
-1.66954741	-0.371702	0.52883204	-0.885533122
-0.885533122	-1.66954741	-0.371702	1.121678789
1.121678789	-0.885533122	-1.66954741	1.489609437
1.489609437	1.121678789	-0.885533122	1.301132737
1.301132737	1.489609437	1.121678789	1.588273576
1.588273576	1.301132737	1.489609437	1.412239805
1.412239805	1.588273576	1.301132737	-0.556459011
-0.556459011	1.412239805	1.588273576	-0.898383276
-0.898383276	-0.556459011	1.412239805	-0.860499389
-0.860499389	-0.898383276	-0.556459011	0.419799666
0.419799666	-0.860499389	-0.898383276	-0.006732401
-0.006732401	0.419799666	-0.860499389	-0.457099895
-0.457099895	-0.006732401	0.419799666	-1.449252564
-1.449252564	-0.457099895	-0.006732401	-1.21380424
-1.21380424	-1.449252564	-0.457099895	-0.699087683
-0.699087683	-1.21380424	-1.449252564	-1.852514105
-1.852514105	-0.699087683	-1.21380424	-0.662174165
-0.662174165	-1.852514105	-0.699087683	-0.924497919
-0.924497919	-0.662174165	-1.852514105	-0.044492031
-0.044492031	-0.924497919	-0.662174165	0.873739347
0.873739347	-0.044492031	-0.924497919	1.588722953
1.588722953	0.873739347	-0.044492031	0.641963985
0.641963985	1.588722953	0.873739347	0.20734774
0.20734774	0.641963985	1.588722953	1.010926315
1.010926315	0.20734774	0.641963985	-0.332693911
-0.332693911	1.010926315	0.20734774	-0.559308295
-0.559308295	-0.332693911	1.010926315	-0.689199257
-0.689199257	-0.559308295	-0.332693911	-0.946858324
-0.946858324	-0.689199257	-0.559308295	-0.247650876
-0.247650876	-0.946858324	-0.689199257	0.735771847
0.735771847	-0.247650876	-0.946858324	-0.163225378
-0.163225378	0.735771847	-0.247650876	-0.394981955
-0.394981955	-0.163225378	0.735771847	0.08684902
0.08684902	-0.394981955	-0.163225378	0.232447411
0.232447411	0.08684902	-0.394981955	0.37581194
0.37581194	0.232447411	0.08684902	0.298967987
0.298967987	0.37581194	0.232447411	-0.881909892
-0.881909892	0.298967987	0.37581194	-0.253409714
-0.253409714	-0.881909892	0.298967987	-2.102728821
-2.102728821	-0.253409714	-0.881909892	-0.80919469
-0.80919469	-2.102728821	-0.253409714	-0.404671474
-0.404671474	-0.80919469	-2.102728821	0.041825991
0.041825991	-0.404671474	-0.80919469	0.582846161
0.582846161	0.041825991	-0.404671474	2.458045174
